proba_threshold,full_marketing_profit,LogisticRegression_marketing_profit,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_f1,LogisticRegression_auc,RandomForestClassifier_marketing_profit,RandomForestClassifier_precision,RandomForestClassifier_recall,RandomForestClassifier_f1,RandomForestClassifier_auc,XGBClassifier_marketing_profit,XGBClassifier_precision,XGBClassifier_recall,XGBClassifier_f1,XGBClassifier_auc
0.34,23840.0,184560.0,0.4023622047244094,0.8949211908931699,0.5551330798479087,0.8261370660348202,196800.0,0.5363941769316909,0.8388791593695272,0.6543715846994536,0.8532631090965284,177920.0,0.5865921787709497,0.7355516637478109,0.6526806526806528,0.8204612538687905
0.35000000000000003,23840.0,185120.0,0.40752602081665334,0.8914185639229422,0.5593406593406594,0.8274228369486833,195680.0,0.5468208092485549,0.8283712784588442,0.658774373259053,0.8515257926821074,174960.0,0.5866477272727273,0.723292469352014,0.647843137254902,0.8151308894074648
0.36,23840.0,183920.0,0.4100895036615134,0.882661996497373,0.56,0.8254422514456174,195680.0,0.5468208092485549,0.8283712784588442,0.658774373259053,0.8515257926821074,175280.0,0.5945165945165946,0.7215411558669002,0.6518987341772152,0.8158536981380536
0.37,23840.0,184080.0,0.4154228855721393,0.8774080560420315,0.5638716938660664,0.8260122121642383,195600.0,0.5528169014084507,0.8248686514886164,0.6619817287420942,0.851532791217454,174000.0,0.5991189427312775,0.7145359019264448,0.6517571884984026,0.8136298435463426
0.38,23840.0,181920.0,0.41886151231945623,0.8633975481611208,0.5640732265446224,0.8223637357173891,195200.0,0.5563463819691578,0.8213660245183888,0.6633663366336634,0.8509004035635422,174480.0,0.6044444444444445,0.7145359019264448,0.6548956661316213,0.81458892283023
0.39,23840.0,182560.0,0.4251082251082251,0.8598949211908932,0.5689455388180764,0.8238093531785667,195120.0,0.5626506024096386,0.8178633975481612,0.6666666666666667,0.8509074020988887,173280.0,0.6053811659192825,0.7092819614711033,0.653225806451613,0.8124414922445031
0.4,23840.0,181920.0,0.4308510638297872,0.851138353765324,0.572101236021189,0.8229476935067028,193920.0,0.5667074663402693,0.8108581436077058,0.6671469740634006,0.8488433940544923,171120.0,0.6100917431192661,0.6987740805604203,0.6514285714285715,0.8086261707149928
0.41000000000000003,23840.0,180480.0,0.43294329432943296,0.8423817863397548,0.5719381688466112,0.8204875683616932,192320.0,0.571072319201995,0.8021015761821366,0.6671522214129643,0.8460635758148535,169760.0,0.6092307692307692,0.6935201401050788,0.6486486486486486,0.8061590470346366
0.42,23840.0,179840.0,0.43721356553620533,0.8353765323992994,0.5740072202166066,0.8195424861484989,192320.0,0.571072319201995,0.8021015761821366,0.6671522214129643,0.8460635758148535,168720.0,0.6121495327102804,0.6882661996497373,0.6479802143446002,0.8043313095435387
0.43,23840.0,178080.0,0.4417293233082707,0.8231173380035026,0.5749235474006117,0.8166098198968919,191920.0,0.5788804071246819,0.7968476357267951,0.6705969049373618,0.8455146107022721,169040.0,0.6159874608150471,0.6882661996497373,0.6501240694789082,0.804970695732797
0.44,23840.0,178960.0,0.45463414634146343,0.8161120840630472,0.5839598997493735,0.8187018220826745,191040.0,0.5824742268041238,0.7915936952714536,0.6711210096510765,0.8440065663058035,167360.0,0.6164817749603804,0.681260945709282,0.6472545757071547,0.8019476084045132
0.45,23840.0,180000.0,0.4649298597194389,0.8126094570928196,0.591459528362014,0.8209466722804253,189280.0,0.5858453473132372,0.7828371278458844,0.6701649175412294,0.8409070549715355,166320.0,0.6195826645264848,0.6760070052539404,0.6465661641541038,0.8001198709134152
0.46,23840.0,179600.0,0.4717948717948718,0.8056042031523643,0.5950840879689522,0.8204811297091744,188960.0,0.5909694555112882,0.7793345008756567,0.6722054380664652,0.8404345138649384,165760.0,0.6233766233766234,0.6725043782837128,0.6470092670598147,0.7991677901648742
0.47000000000000003,23840.0,180560.0,0.48261327713382507,0.8021015761821366,0.6026315789473685,0.8225661333596105,187280.0,0.6041379310344828,0.7670753064798599,0.6759259259259259,0.8376616941606461,165520.0,0.6258169934640523,0.670753064798599,0.6475063398140322,0.798771673064261
0.48,23840.0,180800.0,0.4918918918918919,0.7968476357267951,0.6082887700534759,0.8232959406255459,187280.0,0.6041379310344828,0.7670753064798599,0.6759259259259259,0.8376616941606461,164560.0,0.6301824212271974,0.6654991243432574,0.647359454855196,0.7971037821204779
0.49,23840.0,180480.0,0.509090909090909,0.7845884413309983,0.6175051688490696,0.8232405122256015,185280.0,0.6055944055944056,0.7583187390542907,0.6734059097978227,0.8340826431844344,163680.0,0.6357504215851602,0.660245183887916,0.647766323024055,0.7955957377240093
0.5,23840.0,180000.0,0.523696682464455,0.7740805604203153,0.6247349823321555,0.8227819681896973,183840.0,0.6085106382978723,0.7513134851138353,0.6724137931034482,0.8315390954980941,162560.0,0.6382252559726962,0.6549912434325744,0.6464995678478824,0.7936081536855967
0.51,23840.0,179360.0,0.5382716049382716,0.7635726795096323,0.6314265025343954,0.822003731059164,183600.0,0.6152737752161384,0.7478108581436077,0.675098814229249,0.8312264009388114,161120.0,0.6423611111111112,0.647985989492119,0.6451612903225805,0.7910646059992567
0.52,23840.0,176480.0,0.5489690721649485,0.7460595446584939,0.6325167037861916,0.8170834807691446,183200.0,0.6204379562043796,0.7443082311733801,0.6767515923566879,0.8305940132848998,158480.0,0.6419753086419753,0.637478108581436,0.6397188049209138,0.7862902051858587
0.53,23840.0,177040.0,0.5695006747638327,0.7390542907180385,0.6432926829268292,0.8185360967656689,183440.0,0.6281481481481481,0.7425569176882661,0.6805778491171749,0.8311569754681741,157760.0,0.6441281138790036,0.6339754816112084,0.6390114739629303,0.7850184313426886
0.54,23840.0,175680.0,0.5810055865921788,0.7285464098073555,0.6464646464646465,0.8163192407093043,182160.0,0.6334841628959276,0.7355516637478109,0.6807131280388978,0.828933120876463,156560.0,0.64568345323741,0.6287215411558669,0.637089618456078,0.7828710007569616
0.55,23840.0,175200.0,0.5936599423631124,0.7215411558669002,0.6513833992094861,0.815693851590739,181040.0,0.635670731707317,0.7302977232924693,0.6797066014669927,0.8269455368380505,154800.0,0.6454545454545455,0.6217162872154116,0.6333630686886709,0.779688066881363
0.56,23840.0,174960.0,0.6050295857988166,0.7162872154115587,0.6559743384121893,0.815464579572787,180240.0,0.641860465116279,0.7250437828371279,0.6809210526315789,0.8255973389888964,152960.0,0.6440366972477064,0.6147110332749562,0.6290322580645161,0.77634528645845
